O_{index}(m_3)	            z_0	          v_x	       v_y	          v_z	        T           stability
O_{21}(0.4)	8.14304854588555E-01	1.67196766800274E-01	1.53131979840722E-01	3.48294198320047E-03	5.26991898530710E+01	   U
O_{22}(0.4)	8.08016790182396E-01	5.03624454749625E-03	2.23177005223326E-01	3.65651457723440E-03	5.95224530622157E+01	   U
O_{23}(0.4)	9.38208339871422E-01	1.50761466760154E-01	1.29716772222068E-01	-7.18278709639562E-03	6.15355604281599E+01	   U
O_{24}(0.4)	9.03820442409300E-01	1.55043340899565E-01	1.34084058646277E-01	-6.83222156124055E-03	6.20495785866195E+01	   U
O_{25}(0.4)	9.95120633938066E-01	-5.15237777986513E-04	2.09579531128786E-01	1.14904395404528E-02	6.47450038266035E+01	   U
O_{26}(0.4)	9.89021394642199E-01	6.11181878475154E-03	2.11162120433612E-01	-6.42150931944842E-03	6.50356019725242E+01	   U
O_{27}(0.4)	8.78500191850430E-01	1.16845305835817E-01	1.68022998603917E-01	-7.26033010257780E-04	6.78220414236972E+01	   U
O_{28}(0.4)	9.34023256274501E-01	1.55864792347710E-01	1.30939387758545E-01	7.08382188448409E-03	7.00286633409522E+01	   U
O_{29}(0.4)	8.95171900865587E-01	1.02321400157565E-02	2.17085887163690E-01	9.12629738146295E-03	7.55167598933027E+01	   U
O_{30}(0.4)	2.05281077268025E-01	2.50768143094550E-01	3.75291897566242E-02	6.62277774928564E-04	8.70308983297754E+01	   U
O_{31}(0.4)	2.31172779868783E-01	2.53340868360585E-01	3.61439357871877E-02	6.88801974181641E-03	8.87196646233779E+01	   S
O_{32}(0.4)	2.25717795346649E-01	2.49571465746270E-01	3.34867054455177E-02	8.63094716411205E-04	9.08982674370585E+01	   U
O_{33}(0.4)	2.36297091145210E-01	2.50588607254130E-01	3.30465312683556E-02	3.50978880202327E-03	9.16145244576442E+01	   S
O_{34}(0.4)	8.37330753394839E-01	8.94079046565915E-03	2.21159107262685E-01	6.01648066104472E-03	9.35806526972429E+01	   U
O_{35}(0.4)	3.33441513454234E-01	2.33459078016132E-01	1.34510938101527E-02	5.91241463802159E-03	9.43251080881509E+01	   U
O_{36}(0.4)	2.40928202222856E-01	2.48211415863798E-01	2.96477199357329E-02	3.18725249527194E-04	9.46009875186730E+01	   S
O_{37}(0.4)	2.17962138581584E-01	2.52368114317062E-01	2.68547774738964E-02	-6.59889093692893E-03	9.58208937178209E+01	   U
O_{38}(0.4)	2.17799823879139E-01	2.43938539726727E-01	2.68250827477726E-02	-8.90697097940165E-03	9.59486526761104E+01	   S
O_{39}(0.4)	2.20554277014043E-01	2.52581932591344E-01	2.67702593064090E-02	-5.92845079401707E-03	9.59874786075510E+01	   U
O_{40}(0.4)	2.25781446569079E-01	2.53084650436157E-01	2.65613169272100E-02	-4.55257144443148E-03	9.63609270133978E+01	   U
O_{41}(0.4)	2.45093040377237E-01	2.46119736489087E-01	2.58614245839650E-02	-2.72901952103664E-03	9.76481666367704E+01	   S
O_{42}(0.4)	3.14096388257203E-01	2.35150072840823E-01	1.25962666358565E-02	1.97234101250554E-03	9.83203597498644E+01	   S
O_{43}(0.4)	2.64746558884323E-01	2.48068685331832E-01	2.56850791043751E-02	3.04091798841314E-03	9.91772358497328E+01	   S
O_{44}(0.4)	2.49034297652393E-01	2.44234545983191E-01	2.14996256879626E-02	-5.61965150449604E-03	1.00733578358930E+02	   S
O_{45}(0.4)	8.55881410325211E-01	8.98116297347230E-03	2.18768881118093E-01	1.22473053294938E-03	1.00754184542179E+02	   U
O_{46}(0.4)	2.90432691096691E-01	2.37371046778964E-01	1.16414692695467E-02	-2.89703794891781E-03	1.02462531033256E+02	   S
O_{47}(0.4)	2.52593816301323E-01	2.42553984704661E-01	1.60889492131709E-02	-8.42272107229051E-03	1.03857812124858E+02	   S
O_{48}(0.4)	1.77155430740272E-01	2.51515718521990E-01	4.49000721027702E-02	3.70033675355374E-03	1.03997692151399E+02	   U
O_{49}(0.4)	2.27450289595577E-01	2.46043245234751E-01	1.08589704608968E-02	-1.64397622801111E-02	1.04734245296538E+02	   S
O_{50}(0.4)	2.12752903483315E-01	2.49867956101367E-01	3.49853042343309E-02	3.43576317431247E-04	1.05330623626924E+02	   S
O_{51}(0.4)	1.00066826456651E+00	1.80630893041126E-02	2.05049156827533E-01	-3.64030730259514E-03	1.05378730016242E+02	   U
O_{52}(0.4)	1.83611731071461E-01	2.46441596534784E-01	4.39063781937933E-02	2.08445767743941E-03	1.05560264244853E+02	   U
O_{53}(0.4)	2.76111701503455E-01	2.44592174751079E-01	1.66315150279454E-02	-1.49687515416235E-03	1.05657581173560E+02	   U
O_{54}(0.4)	9.52960776153318E-01	4.71459644298716E-03	2.13004379175643E-01	4.20964650871069E-03	1.06252566967323E+02	   S
O_{55}(0.4)	9.95250602644178E-01	1.39489648982143E-02	2.08805100114059E-01	8.71962253619266E-03	1.06770575533828E+02	   U
O_{56}(0.4)	2.56044578921141E-01	2.41015095903707E-01	7.65214585191392E-03	-1.11117183245330E-02	1.07004017905797E+02	   S
O_{57}(0.4)	3.89555129316320E-01	2.23194793064515E-01	6.95159793999048E-03	1.25235227933243E-02	1.07466225898906E+02	   U
O_{58}(0.4)	2.86878750029298E-01	2.48123469061573E-01	1.88220158449533E-02	5.55469777096475E-03	1.07979610875598E+02	   U
O_{59}(0.4)	2.15124772246443E-01	2.48138354923352E-01	3.26898990306661E-02	-1.97008009588177E-03	1.08451855601144E+02	   S
O_{60}(0.4)	1.88543681738777E-01	2.54386617872561E-01	4.12795854614761E-02	4.24587585245068E-03	1.09733626139501E+02	   S
O_{61}(0.4)	2.90863394246035E-01	2.44521950450039E-01	1.17008925540562E-02	6.89744018051057E-04	1.10092192939218E+02	   S
O_{62}(0.4)	2.41129936269425E-01	2.42906714685526E-01	3.03882898984410E-02	2.93992501002631E-04	1.10387609178131E+02	   U
O_{63}(0.4)	1.68575398038563E-01	2.49173729691616E-01	4.11644286096387E-02	-3.07764251947122E-03	1.10503455655427E+02	   U
O_{64}(0.4)	3.72457930053203E-01	2.23518362439705E-01	5.20077267001319E-03	9.16476279185236E-03	1.10692319729562E+02	   U
O_{65}(0.4)	3.10558909821120E-01	2.32651990890654E-01	1.88123685079769E-02	4.08494514658924E-03	1.10970417986041E+02	   U
O_{66}(0.4)	3.79470010638997E-01	2.23867272881714E-01	5.29518774960615E-03	1.07255599944250E-02	1.11166623133096E+02	   U
O_{67}(0.4)	2.09158578553905E-01	2.46341790207023E-01	3.03790500940823E-02	-6.13665171691193E-03	1.11253945784275E+02	   U
O_{68}(0.4)	2.15935255496587E-01	2.46806860905345E-01	3.02229645851569E-02	-4.46170640968614E-03	1.11690205157424E+02	   S
